idno,cntry,age,gndr,hincfel,vote,eisced,w4gq1,w4hq1,w4dq1,w4eq1,w4hq3,w4gq6,w4dq3,w4eq3,w4hq6,w4gq10_b,w4dq4_3,w4eq7,w4hq9,w4gq12_a,w4dq10,w4eq10,w4hq11,w4gq13_b,w4dq12,w4eq12,w4hq14,w4gq14_b,w4dq13_6,w4eq14,w4hq17,w4gq16_a,w4dq15,w4eq17,w4hq20,w4gq17_b
78082,FR,49,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80633,FR,35,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52448,GB,53,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53296,GB,59,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54097,GB,40,2,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60626,GB,59,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61469,GB,24,1,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61743,GB,66,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61922,GB,46,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65941,GB,42,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66288,GB,41,1,1,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67685,GB,62,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73113,GB,23,1,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78319,GB,81,2,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78944,GB,81,1,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79703,GB,70,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80013,GB,61,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83508,GB,52,1,4,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84393,GB,90,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54047,HU,43,1,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54488,HU,67,2,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63388,HU,81,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63709,HU,24,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73806,HU,66,1,3,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84347,HU,71,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51961,IS,54,1,3,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52270,IS,48,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53213,IS,47,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55068,IS,72,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60946,IS,72,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69396,IS,29,1,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73943,IS,32,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74944,IS,40,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78758,IS,71,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79577,IS,81,2,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80747,IS,69,2,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81268,IS,56,1,4,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82861,IS,36,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51651,PL,57,1,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70513,PL,32,1,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
