demographic,domain,feature_idx,mean_diff,cohens_d,p_value,p_corrected,significant,large_effect,sign_agreement,cv,outlier_ratio,is_noisy,feature_significant,selection_method,layer
vote,economy,14732,0.12731310725212097,2.933091163635254,0.0,0.0,True,True,0.9965686274509804,0.34093722701072693,0.0,False,True,significant,5
vote,economy,7203,0.11210937798023224,2.2539217472076416,0.0,0.0,True,True,0.9764705882352941,0.4436711370944977,0.0014705882352941176,False,True,significant,5
vote,economy,11938,-0.10590533167123795,-3.2192938327789307,0.0,0.0,True,True,0.9965686274509804,0.31062713265419006,0.003431372549019608,False,True,significant,5
vote,economy,346,0.1038411483168602,2.3563270568847656,0.0,0.0,True,True,0.9955882352941177,0.4243893325328827,0.0029411764705882353,False,True,significant,5
vote,economy,9271,0.10205269604921341,1.0503138303756714,0.0,0.0,True,True,0.7622549019607843,0.9520963430404663,0.0,False,True,significant,5
vote,economy,727,0.10163909196853638,2.4187121391296387,0.0,0.0,True,True,0.9852941176470589,0.4134431481361389,0.004901960784313725,False,True,significant,5
vote,economy,9577,0.08818934112787247,1.289721131324768,0.0,0.0,True,True,0.8504901960784313,0.7753614187240601,0.0014705882352941176,False,True,significant,5
vote,economy,3573,0.08514092862606049,1.4741129875183105,0.0,0.0,True,True,0.8269607843137254,0.6783740520477295,0.0004901960784313725,False,True,significant,5
vote,economy,7083,-0.07938113063573837,-2.250070571899414,0.0,0.0,True,True,0.9705882352941176,0.44443053007125854,0.004411764705882353,False,True,significant,5
vote,economy,9460,0.07645527273416519,1.7026106119155884,0.0,0.0,True,True,0.9269607843137255,0.5873333215713501,0.0,False,True,significant,5
vote,economy,6365,0.07548253983259201,1.8562103509902954,0.0,0.0,True,True,0.942156862745098,0.5387320518493652,0.0024509803921568627,False,True,significant,5
vote,economy,4173,0.06937040388584137,1.8850387334823608,0.0,0.0,True,True,0.9406862745098039,0.5304930806159973,0.0024509803921568627,False,True,significant,5
vote,economy,10952,0.06412377208471298,2.1621439456939697,0.0,0.0,True,True,0.9602941176470589,0.4625038802623749,0.007352941176470588,False,True,significant,5
vote,economy,8597,-0.06343443691730499,-1.476245403289795,0.0,0.0,True,True,0.861764705882353,0.6773941516876221,0.0,False,True,significant,5
vote,economy,9703,0.06145833432674408,1.5262035131454468,0.0,0.0,True,True,0.8799019607843137,0.655220627784729,0.003431372549019608,False,True,significant,5
vote,economy,10278,0.06128982827067375,1.9883625507354736,0.0,0.0,True,True,0.9279411764705883,0.5029264092445374,0.005392156862745098,False,True,significant,5
